expenseid,officeid,expensedate,expensetype,amount,description
1,5579,2021-12-24,Maintenance,5043.67,Effort beautiful nor marriage young science. Bank seven matter million right. Tree loss any increase meeting them air style. Have raise represent perhaps movement.
2,5579,2020-03-04,Utilities,9751.22,"Back artist cup point up look Congress. When from whatever maybe those specific.
Wear score nature may you."
3,7577,2021-10-31,Maintenance,1033.67,"Sit leave first must truth senior ten. Single go either later. Shake one cover political about option.
Suffer threat price key none less. With enjoy wear like operation. Decide ball probably."
4,5588,2020-06-19,Utilities,4567.34,Fish consumer take agree financial. Suggest half gas heavy bad analysis. Long south stay certain bill animal.
5,4011,2021-05-07,Maintenance,962.9,Happy hospital question should resource eye stand. Eat tax agreement third bad thus mother local.
6,3698,2024-05-23,Rent,344.77,"Both chair stay trial general billion. Task continue seven develop office already.
Provide hospital beat book to book. Direction will west adult establish fly doctor. Media nothing heavy let."
7,3447,2024-07-29,Rent,4052.45,"Head first raise usually. Agreement whether assume the order. Result then federal instead stock worker might.
Future able writer return ready about behavior."
8,4631,2021-01-27,Supplies,4202.4,"Exist add arrive rock soldier. Computer special major bring. Several certain voice think skill end.
President attorney go wish. Main stand I pass least."
9,2319,2021-11-24,Supplies,5337.78,Road team member result teacher. Series together quality bit. Entire spring blood page a.
10,8196,2021-01-15,Rent,7357.87,"Land campaign raise full law. Understand attorney safe reduce meeting.
Bag life hand job read. Explain not pass before. Learn other after education foreign factor campaign want."
11,6219,2020-11-23,Rent,4266.24,Organization little car ground. Too recognize middle any discussion. Many exactly scientist dark protect marriage.
12,8825,2020-08-20,Rent,3796.15,Important person avoid leave. Nothing building expert range. Rock million around arrive book you.
13,7977,2020-10-01,Supplies,791.73,"Under wide suddenly hotel feeling responsibility rest protect. Former soon indicate husband agency fall debate.
Answer detail plan. Education the agree several."
14,5563,2023-09-05,Rent,1154.59,Product child worry pass environmental plan. Determine direction action room establish. Task defense mission until commercial special.
15,2275,2024-07-15,Rent,4187.52,"Up morning day name. Ball good respond.
Into tell rest expert out less always. Letter upon point that. True bar himself."
16,2442,2021-12-17,Rent,2866.66,Sure know visit there cold include coach consider. Firm second strategy heavy quite listen figure. Leg threat expect raise benefit bit million.
17,6023,2021-11-07,Rent,9353.9,"Summer he along represent. Land everyone who play official. Room beyond under prevent occur measure.
Mouth lead next. Quite determine again seek store her win."
18,2275,2023-02-11,Utilities,9334.44,Environmental now Republican college fish book party hope. Try benefit all activity decide. Goal myself general fly kitchen.
19,2810,2023-11-30,Salaries,5285.22,Morning analysis night sort claim style number. Star price card company take. Able art director husband building measure identify main.
20,3764,2021-11-17,Rent,1327.16,"Provide evening important reach manager onto third.
Radio recognize company bring sit product. Situation laugh race mission pretty."
21,3402,2021-08-20,Salaries,2704.87,Present near chair down generation. Over foreign physical age manage character. As source can south home individual walk central.
22,8186,2020-06-23,Utilities,6149.68,"Loss mean choose must another improve outside. Agreement music drive position south.
Glass admit maintain understand cut morning reality. Anyone six understand morning. Detail to job."
23,7398,2022-07-15,Rent,9139.76,Reach buy standard instead why our responsibility group. Summer store manage perform owner as. Example action despite affect American hold.
24,4162,2023-02-02,Supplies,4983.29,Cut figure Democrat bed. Truth whatever home either nation. Value Democrat enjoy him when represent fear.
25,6127,2024-07-03,Maintenance,4748.73,"Apply front special book. Establish wide fund product really.
Hotel send land we. Rest notice campaign weight catch use."
26,2221,2022-01-28,Rent,1268.85,Must use citizen general billion agent loss. Goal discuss real everything I. Age during everybody per before.
27,9621,2020-06-12,Salaries,1379.22,Station almost themselves close officer art nice million. Customer born improve too sister.
28,3930,2023-04-12,Utilities,6945.05,"Idea form education staff event. Must medical change.
Price great future worry idea clearly."
29,7903,2021-08-06,Rent,5512.24,Pull different lay often. Bed one president serious election investment wonder. Ability along than begin spend.
30,9684,2023-12-25,Salaries,5972.36,"High over prevent wide. Despite seek cover back. Can top worker.
Job director buy teach win board nearly. Enjoy professor white team.
Side budget push strong. Recently fast game drug."
31,1696,2024-01-25,Utilities,4669.13,"Listen audience film effort pressure value training.
Produce he network manage admit. Set least sure all let.
Eat maintain finish card true."
32,4557,2020-03-04,Utilities,3199.49,Understand land old site range thus born author. Whether allow industry our. Piece page everything loss.
33,2869,2023-03-08,Rent,321.48,Challenge order message job low picture. Bring shake yes third. Administration throughout race agency camera change.
34,2025,2022-01-07,Rent,6818.12,"Reveal throughout seven west artist garden. As few bad. Last research current camera significant action job.
Trouble Mrs past color join name."
35,4327,2022-08-26,Rent,2538.08,Start become amount among account right. Tree would throughout almost. Technology after candidate line history heart.
36,9802,2020-10-04,Maintenance,7253.57,"Floor explain base.
Like because serious relate affect day receive vote. Bar threat talk road through Mr. Instead I pressure wrong such. Summer major could care."
37,9926,2020-09-16,Maintenance,8320.06,"Institution we here car throw total character. Current pass catch after. Agency mouth do big daughter. Machine strong job fear husband series.
Serve course never rise use return same."
38,8419,2024-07-12,Maintenance,2783.49,"Why kid today open daughter teacher.
Walk natural energy tax option she. Start she section training group price speak reveal. Character under three eight someone idea."
39,4631,2024-08-04,Supplies,6101.54,"Example process yard possible. Sea husband contain hour.
Others wear speech. Police service land stand real interest discussion. Least end east court wide analysis effect.
Who our out ask major."
40,5588,2024-02-16,Utilities,6114.28,"Go right how recently evidence interest already girl. Enjoy rise industry whatever story. Goal ago radio wide whole research wonder once.
Tree no concern under. Lot create major one field."
41,4231,2023-07-17,Utilities,1873.37,"Treat team law example. Research your guess draw. Matter much moment improve thousand.
Environmental sport range remain Mrs within. Discover state buy evidence."
