revenueid,transactionid,revenuedate,amount,description
287989,279027,2024-03-28,157776.71,Lease signing bonus
931384,262937,2023-12-10,13396.05,Real estate sale commission
348714,812293,2024-01-02,55892.85,Investment return
130682,223663,2024-06-04,148972.88,Consultation fee
706170,292609,2024-01-20,89793.13,Investment return
471298,284652,2023-08-11,177934.51,Investment return
746072,962260,2024-03-09,24524.56,Maintenance and service fee
850020,413676,2024-01-17,147180.8,Maintenance and service fee
625469,116701,2024-05-19,113477.89,Rental income
357434,868419,2023-08-10,71998.09,Investment return
446333,133677,2024-07-25,87650.67,Real estate sale commission
816107,109046,2024-02-20,191401.69,Investment return
295452,410726,2024-07-03,51981.34,Lease signing bonus
509246,884186,2023-08-27,51482.43,Real estate sale commission
824080,571078,2024-03-29,32224.9,Lease signing bonus
551092,604776,2024-03-28,126211.35,Lease signing bonus
509946,755400,2024-06-08,116816.2,Rental income
388596,883714,2023-08-06,77457.64,Investment return
532583,471707,2023-09-17,110145.07,Investment return
262947,158115,2024-02-09,118372.21,Consultation fee
774605,921999,2024-03-05,82837.42,Lease signing bonus
949469,944598,2023-09-22,63374.27,Rental income
634294,466930,2024-01-05,157999.17,Consultation fee
398310,614786,2024-01-23,35119.13,Rental income
754705,881732,2024-05-20,100537.55,Maintenance and service fee
919208,635402,2024-04-10,19404.5,Consultation fee
615584,164919,2023-09-06,11692.72,Maintenance and service fee
439384,927400,2024-08-04,148644.34,Rental income
710992,552399,2024-08-04,139232.74,Property management fee
564898,556455,2024-01-24,183816.96,Consultation fee
845924,657270,2023-09-11,102712.12,Maintenance and service fee
626713,871582,2023-12-30,146437.08,Maintenance and service fee
535425,629775,2023-08-27,185465.75,Investment return
216207,833298,2023-10-03,67312.59,Property management fee
544334,588555,2024-07-30,184338.38,Rental income
523766,777297,2024-06-20,43163.2,Maintenance and service fee
945583,343703,2023-12-22,45231.22,Maintenance and service fee
347202,537879,2023-12-12,134011.84,Consultation fee
311577,657582,2024-07-24,137935.17,Property management fee
570936,487318,2024-06-04,140304.39,Real estate sale commission
539022,542364,2024-02-06,169668.92,Maintenance and service fee
247382,770600,2024-07-19,154386.12,Maintenance and service fee
712762,994656,2023-08-20,105540.48,Rental income
221489,172409,2023-08-14,74908.69,Real estate sale commission
430121,278824,2024-03-08,15527.27,Real estate sale commission
262817,720562,2024-05-01,83353.25,Rental income
814525,433968,2024-07-16,148811.72,Rental income
979615,754727,2023-12-22,191013.03,Property management fee
190573,671822,2023-08-27,38454.66,Investment return
280022,154869,2024-06-01,196525.59,Property management fee
286964,895537,2024-06-10,30071.88,Rental income
721084,744563,2024-06-28,185475.81,Lease signing bonus
581717,718179,2024-05-21,134259.7,Property management fee
330573,542949,2024-07-17,114765.09,Investment return
966373,829620,2023-11-19,197056.73,Consultation fee
343409,938558,2023-10-24,177532.35,Lease signing bonus
668691,557317,2024-04-07,64296.77,Lease signing bonus
230800,353066,2024-02-06,136454.97,Lease signing bonus
264414,465990,2024-04-19,99294.78,Consultation fee
446667,281804,2024-01-09,23769.51,Consultation fee
443959,735679,2023-09-25,84402.0,Investment return
740906,401617,2023-12-01,45485.02,Property management fee
417055,523324,2024-03-18,11917.51,Investment return
712467,808744,2024-01-30,195111.78,Real estate sale commission
278551,387455,2023-12-10,101519.21,Property management fee
524695,908247,2024-05-08,66933.08,Rental income
746865,976578,2024-03-09,22932.86,Consultation fee
979267,915703,2024-04-29,95597.77,Maintenance and service fee
227762,727598,2024-05-24,41682.96,Real estate sale commission
671375,627036,2024-02-12,40804.45,Property management fee
733226,926471,2024-04-10,111675.2,Property management fee
166836,359672,2024-06-03,16446.42,Property management fee
344439,582477,2023-11-26,126761.61,Investment return
794143,797827,2023-08-10,167896.59,Rental income
105135,912796,2023-12-30,178340.97,Property management fee
950137,697461,2024-06-02,135757.69,Rental income
837826,116701,2023-08-09,189712.24,Consultation fee
921684,929395,2024-07-29,129359.93,Rental income
921211,907965,2023-08-23,147640.15,Lease signing bonus
683627,790298,2024-03-31,127854.63,Investment return
273142,727917,2023-11-18,130108.98,Property management fee
130636,518351,2023-10-16,165736.15,Investment return
286248,570361,2023-12-19,117867.45,Lease signing bonus
471394,192691,2024-04-13,178956.43,Consultation fee
496743,485300,2024-02-29,27743.84,Lease signing bonus
336472,736783,2023-08-16,133752.19,Real estate sale commission
856913,631670,2024-02-25,55810.16,Property management fee
171200,207989,2024-07-30,186777.59,Investment return
553915,777041,2024-04-27,27195.57,Consultation fee
942147,505093,2023-08-15,187562.83,Property management fee
510983,279181,2023-09-04,112263.35,Real estate sale commission
501105,279336,2023-10-21,127212.83,Lease signing bonus
337022,704871,2023-12-10,160094.68,Real estate sale commission
670414,929359,2024-03-21,188195.11,Lease signing bonus
868904,994656,2023-10-18,179518.84,Investment return
816703,722598,2024-05-25,198535.83,Real estate sale commission
915336,196109,2023-09-09,190263.01,Rental income
130270,459210,2024-03-08,65285.54,Consultation fee
626340,948836,2024-04-13,157298.7,Lease signing bonus
237702,426792,2024-06-03,103471.5,Rental income
500805,226023,2024-05-17,112335.32,Maintenance and service fee
788110,958486,2023-09-30,147983.04,Maintenance and service fee
671218,233522,2024-04-26,160931.76,Rental income
135114,974684,2023-08-18,45957.75,Maintenance and service fee
383016,761332,2023-12-10,8301.48,Consultation fee
622838,269541,2024-03-14,144943.42,Investment return
377857,596641,2024-03-26,82102.1,Lease signing bonus
863677,133005,2024-04-01,190171.42,Consultation fee
310112,225672,2024-05-19,91243.22,Lease signing bonus
511723,733444,2024-05-02,69757.27,Consultation fee
812216,837614,2024-06-13,40066.21,Maintenance and service fee
979536,958373,2024-07-08,140007.64,Real estate sale commission
604137,874379,2023-12-04,87942.0,Real estate sale commission
587835,567497,2023-10-17,15210.81,Consultation fee
690003,909155,2024-04-05,50758.49,Maintenance and service fee
441779,881732,2024-05-14,36383.86,Property management fee
284640,914296,2023-12-05,163058.28,Consultation fee
781122,633111,2023-12-12,127393.34,Maintenance and service fee
359529,146978,2023-12-18,71085.03,Maintenance and service fee
521667,172409,2024-07-05,73420.93,Real estate sale commission
887849,970342,2023-08-26,165462.63,Maintenance and service fee
548115,320898,2023-12-18,89413.22,Maintenance and service fee
353473,815406,2024-04-27,7547.59,Investment return
535123,853980,2024-03-13,13078.82,Lease signing bonus
540188,957092,2023-09-26,51711.58,Investment return
761156,312129,2024-02-26,182750.35,Consultation fee
553444,310766,2024-05-29,29357.5,Consultation fee
